ID,relative_margin_with_supplier_binary_positive
2175,0
2176,0
2177,0
2178,1
2179,0
2180,1
2181,0
2182,0
2183,0
2184,1
2185,0
2186,0
2187,0
2188,1
2189,0
2190,1
2191,0
2192,0
2193,1
2194,0
2195,0
2196,0
2197,1
2198,0
2199,1
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,1
2209,1
2210,0
2211,0
2212,0
2213,0
2214,1
2215,0
2216,1
2217,1
2218,0
2219,1
2220,0
2221,0
2222,0
2223,1
2224,1
2225,1
2226,1
2227,1
2228,0
2229,1
2230,1
2231,1
2232,0
2233,1
2234,0
2235,0
2236,0
2237,1
2238,0
2239,1
2240,0
2241,0
2242,0
2243,1
2244,1
2245,0
2246,1
2247,0
2248,0
2249,0
2250,0
2251,1
2252,0
2253,0
2254,0
2255,0
2256,1
2257,1
2258,0
2259,0
2260,1
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,1
2269,1
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,1
2281,0
2282,1
2283,1
2284,0
2285,0
2286,1
2287,1
2288,1
2289,1
2290,0
2291,0
2292,0
2293,0
2294,1
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,1
2307,1
2308,0
2309,1
2310,0
2311,0
2312,1
2313,0
2314,0
2315,1
2316,1
2317,1
2318,0
2319,1
2320,1
2321,0
2322,0
2323,1
2324,0
2325,0
2326,0
2327,1
2328,1
2329,1
2330,1
2331,1
2332,0
2333,1
2334,0
2335,0
2336,0
2337,0
2338,1
2339,0
2340,1
2341,0
2342,0
2343,0
2344,1
2345,1
2346,0
2347,1
2348,0
2349,0
2350,0
2351,0
2352,1
2353,0
2354,0
2355,1
2356,0
2357,0
2358,0
2359,0
2360,0
2361,1
2362,0
2363,1
2364,1
2365,1
2366,0
2367,0
2368,0
2369,1
2370,0
2371,1
2372,0
2373,0
2374,0
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,0
2382,1
2383,0
2384,0
2385,1
2386,0
2387,0
2388,0
2389,0
2390,1
2391,0
2392,0
2393,1
2394,0
2395,0
2396,0
2397,0
2398,1
2399,1
2400,0
2401,1
2402,0
2403,0
2404,0
2405,1
2406,0
2407,0
2408,1
2409,1
2410,1
2411,0
2412,0
2413,0
2414,1
2415,1
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,1
2425,0
2426,0
2427,1
2428,0
2429,0
2430,1
2431,1
2432,1
2433,0
2434,1
2435,1
2436,0
2437,0
2438,1
2439,0
2440,1
2441,0
2442,0
2443,0
2444,0
2445,1
2446,0
2447,1
2448,1
2449,1
2450,0
2451,1
2452,1
2453,0
2454,1
2455,0
2456,0
2457,1
2458,0
2459,1
2460,1
2461,0
2462,0
2463,0
2464,0
2465,0
