ID,ratio_rolling_sum_180_net_uplift_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_year,stg_selling_price_val,rolling_mean_1126_relative_uplift_binary_negative_stg_item_cd_last_available,supplier_funding_perc,rolling_mean_720_relative_uplift_binary_negative_stg_item_category_cd_last_available,is_gondola,ratio_rolling_sum_60_net_uplift_split_stg_item_cd_rolling_sum_60_baseline_split_stg_item_cd_last_available,rolling_mean_360_relative_uplift_binary_negative_stg_item_cd_last_available,rolling_sum_180_net_uplift_split_stg_item_category_cd_last_available,rolling_sum_180_baseline_split_stg_item_cd_last_available,rolling_mean_360_relative_uplift_multiclass_mid_stg_item_category_cd_last_available,rolling_mean_180_relative_margin_with_supplier_binary_positive_stg_item_category_cd_last_year,ratio_rolling_sum_180_net_margin_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_available,rolling_mean_540_relative_margin_binary_positive_stg_item_cd_last_available,rolling_sum_180_net_uplift_split_stg_item_category_cd_last_year,rolling_sum_90_net_uplift_split_stg_item_category_cd_last_available,rolling_sum_365_prm_net_amount_without_tax_val_if_promo_stg_item_cd_last_available,ratio_mean_30_stg_item_selling_price_val_stg_item_cost_price_val_last_available,rolling_sum_180_baseline_split_stg_item_cd_last_year
2175,NaN,27.33333333,0.733333333,10,NaN,1,NaN,0.948717949,-911862.254,0.666666667,0.776836158,0.685052203,NaN,0.933908046,2669017.966,1255533.212,351058.2494,1.478093172,0.666666667
2176,0.585704218,184,0.833333333,15,0.710806697,0,-0.127925322,1,-203542.1105,1269513.868,0.692307692,0.666666667,-0.529674299,0.733333333,1277139.767,803180.1411,9146.002926,1.437291282,284553.8751
2177,0.41565634,197.3333333,0.701754386,25,0.784188034,0,NaN,NaN,50637.2029,1797629.5,0.759070295,0.674418605,0.137536169,0.666666667,-731826.1095,859636.4242,116472.6376,1.43745798,0.666666667
2178,0.090430825,134,0.851851852,15,0.780793671,0,1.90675915,0.833333333,-108437.7349,0.666666667,0.719210221,0.666666667,-0.016270487,0.666666667,113512.206,850939.3148,58938.68615,1.413410108,423483.1139
2179,NaN,77.33333333,0.754385965,20,0.738562092,1,NaN,0.688888889,1055087.57,133940.8579,0.716253444,0.666666667,-0.134009535,0.666666667,NaN,104198.9441,2800142.479,1.346456693,0.666666667
2180,0.271032284,40.66666667,0.863300493,10,0.850625527,1,0.018846062,0.777777778,3097713.973,333050.4372,0.783625731,0.666666667,NaN,0.923076923,6949291.231,1135778.75,2279221.193,1.331614657,34799.79971
2181,0.327858312,14,1,15,0.741666667,0,-0.054935298,0.842171717,-187260.8695,62784.82017,0.71839137,0.666666667,-0.242798738,0.782539683,1736232.642,-145307.0939,1262457.733,1.212353258,372844.9032
2182,0.501369696,700.6666667,0.666666667,15,0.739373602,0,-0.173843315,1,4050851.931,216333.062,0.801587302,0.666666667,0.001917731,0.73030303,NaN,610014.6735,141136.1304,1.334181947,1163237.084
2183,0.237462972,100.6666667,0.904761905,15,0.76744186,0,1.587857585,0.666666667,1.51E+07,0.666666667,0.761904762,0.666666667,NaN,0.666666667,943333.0591,-249200.4729,14660.25426,1.400641026,13858.03316
2184,0.470497048,84,0.974358974,10,0.846846847,0,0.253535624,0.666666667,1.52E+07,0.666666667,0.740740741,0.669267106,0.29321617,0.703703704,5413224.035,1242888.247,400143.6608,1.202531597,248123.6185
2185,NaN,95.66666667,0.75,0,0.78255675,1,NaN,1,88447.82111,18866.87046,0.689265537,0.666666667,0.174936965,0.666666667,-30540.51596,986257.0026,0.666666667,1.423428004,768082.2802
2186,0.150082254,44,1,10,0.897435897,0,NaN,0.666666667,3011498.67,777374.9593,0.76928717,0.666666667,NaN,0.666666667,-197472.6495,-25712.36322,0.666666667,1.463649935,0.666666667
2187,NaN,75.66666667,1,15,0.83974359,1,NaN,NaN,-4703.368164,1454531.271,0.766169154,0.666666667,-0.003973642,NaN,326541.2503,1539193.899,696026.5233,1.486407166,39793.42118
2188,0.144439539,120.6666667,NaN,12,0.734848485,1,0.166582702,0.77173913,3170641.566,844575.9154,0.693548387,0.666666667,0.167565179,0.68,1587626.282,-1210503.729,3929016.799,1.283580521,47922.11527
2189,0.462153579,29,0.740740741,15,0.743333333,0,NaN,0.7,-221559.3599,353027.6155,0.74754902,0.666666667,0.261186391,0.666666667,1196493.147,748970.2967,430357.5943,1.349199022,426652.5388
2190,NaN,240.6666667,0.848484848,15,0.824074074,0,4.289672109,0.701754386,882831.7498,188756.7756,0.726630583,0.666666667,0.119186927,0.833333333,2557453.629,24289.50185,1638129.159,1.195632749,830388.7126
2191,-0.281630917,274,0.833333333,9.550000191,0.887459807,0,0.175785174,0.833333333,-203542.1105,1143275.399,0.727513228,0.666666667,-54.21857646,0.833333333,-170663.7507,313059.7032,0.666666667,1.476176203,280873.8097
2192,0.206982431,NaN,0.666666667,15,0.756613757,0,0.962061323,0.666666667,2642546.087,1163661.761,0.695749441,0.666666667,0.136898439,0.666666667,412372.1221,91722.89928,0.666666667,1.361520104,0.666666667
2193,NaN,225.6666667,0.782608696,10,0.790494059,0,NaN,1,2614253.664,458005.3117,0.743902439,0.666666667,-0.065798022,0.916666667,-17528.58802,1268208.743,0.666666667,1.281850149,0.666666667
2194,1.134065559,24,1,15,0.821350763,0,NaN,0.794871795,29827.16469,67256.68171,0.73968254,0.682853956,-0.547325139,0.666666667,210141.1189,471734.2768,669900.2728,1.370228575,0.666666667
2195,NaN,67.33333333,0.666666667,10,0.727506427,1,0.122426572,0.666666667,93888.99542,71132.38569,0.712318118,0.666666667,NaN,1,-55196.41384,444775.3571,1621476.25,1.415175207,158064.8925
2196,0.919476808,154,0.888888889,10,0.839935504,0,NaN,0.888888889,1.76E+07,260877.3341,0.700206072,0.671903361,NaN,0.895833333,201921.7364,5412711.124,NaN,1.412332976,483398.9184
2197,NaN,180.6666667,0.921078921,10,0.829457364,0,0.845566889,0.933333333,48041.38322,1032178.623,0.734428149,0.672131148,0.085575861,0.666666667,-17607.30225,1236617.94,633102.1989,1.630621381,1168910.623
2198,0.419386151,117.3333333,0.666666667,25,0.739393939,0,NaN,0.666666667,-75145.31562,311000.602,0.8203125,0.666666667,0.022994875,0.666666667,2632685.728,103738.2838,437724.1971,1.144578313,277414.5551
